record_id,temperature_c,humidity_pct,thi,weight_change_kg,feed_intake_kg,medicine_given,temp_avg3,humidity_avg3,condition,condition_label
REC0001,35.12,69.51,31.662129099999998,0.839,2.9,0,35.12,69.51,Good,0
REC0002,35.34,61.0,30.86982,0.676,2.5,1,35.230000000000004,65.255,Good,0
REC0003,36.12,60.21,31.388571099999997,0.982,3.25,0,35.526666666666664,63.57333333333333,Good,0
REC0004,34.0,69.92,30.77392,0.77,2.92,0,35.153333333333336,63.71,Good,0
REC0005,35.3,62.91,31.056903999999996,0.767,2.21,1,35.14,64.34666666666668,Good,0
REC0006,36.92,62.33,32.2749123,0.454,2.93,1,35.406666666666666,65.05333333333333,Good,0
REC0007,35.54,65.92,31.596262399999997,0.428,2.91,0,35.919999999999995,63.720000000000006,Good,0
REC0008,35.35,60.13,30.77790775,0.965,2.84,0,35.93666666666667,62.793333333333344,Good,0
REC0009,34.91,60.98,30.529809899999997,0.811,2.66,0,35.266666666666666,62.34333333333334,Good,0
REC0010,35.83,68.33,32.11463395,0.504,2.59,0,35.36333333333333,63.14666666666667,Good,0
REC0011,35.99,63.12,31.6309684,0.712,2.82,0,35.57666666666666,64.14333333333333,Good,0
REC0012,34.09,68.42,30.6874129,0.67,2.59,1,35.303333333333335,66.62333333333333,Good,0
REC0013,35.79,69.22,32.1858159,0.453,2.29,0,35.29,66.92,Good,0
REC0014,36.88,68.45,32.9965105,0.848,2.81,1,35.586666666666666,68.69666666666667,Good,0
REC0015,35.07,62.81,30.86250935,0.726,2.21,0,35.913333333333334,66.82666666666667,Good,0
REC0016,34.5,60.16,30.117599999999996,0.654,2.59,1,35.483333333333334,63.80666666666667,Good,0
REC0017,34.02,68.15,30.600584,0.824,3.09,0,34.53,63.70666666666668,Good,0
REC0018,35.82,69.26,32.2154276,0.791,3.37,0,34.78,65.85666666666668,Good,0
REC0019,35.87,63.31,31.55764085,0.438,2.47,1,35.23666666666667,66.90666666666668,Good,0
REC0020,36.0,65.91,31.9688575,0.565,2.84,0,35.89666666666667,66.16000000000001,Good,0
